iter	RMSE
0	14.67513044
1	14.33592079
2	13.99952455
3	13.66799906
4	13.35384357
5	13.07128815
6	12.76204207
7	12.45964168
8	12.20244076
9	11.92134498
10	11.6733202
11	11.45258195
12	11.24049136
13	10.9971044
14	10.75496903
15	10.52513435
16	10.3182419
17	10.12048024
18	9.927122279
19	9.760548018
20	9.588011444
21	9.412765139
22	9.261318587
23	9.082819172
24	8.907123502
25	8.747214254
26	8.592997938
27	8.455805015
28	8.304508858
29	8.18621256
30	8.045639331
31	7.914974369
32	7.784107489
33	7.683518918
34	7.574526355
35	7.478385655
36	7.379239753
37	7.27563434
38	7.175338072
39	7.085737898
40	7.001941931
41	6.931684341
42	6.852582636
43	6.777923364
44	6.701288729
45	6.630836342
46	6.564980591
47	6.503152188
48	6.441187393
49	6.380051792
50	6.31976288
51	6.267323913
52	6.211282893
53	6.156448251
54	6.107912045
55	6.054595612
56	6.0064565
57	5.957969446
58	5.911613439
59	5.865815348
60	5.821065955
61	5.776988603
62	5.737017695
63	5.698193201
64	5.665178596
65	5.643520918
66	5.60335393
67	5.569457635
68	5.537450727
69	5.509342846
70	5.480068739
71	5.448260546
72	5.418138603
73	5.389803307
74	5.36534399
75	5.336165445
76	5.312917553
77	5.289146767
78	5.267512838
79	5.24313511
80	5.220695168
81	5.199299492
82	5.177001977
83	5.153170296
84	5.128820927
85	5.107402766
86	5.081722641
87	5.066261976
88	5.053810262
89	5.04162973
90	5.025152918
91	5.009656455
92	4.987971488
93	4.971546929
94	4.954645847
95	4.935178836
96	4.920503748
97	4.904795741
98	4.88904373
99	4.872047275
100	4.852927835
101	4.83804576
102	4.823723218
103	4.805920848
104	4.789404336
105	4.776409684
106	4.762673659
107	4.754930659
108	4.744137721
109	4.737139428
110	4.731865109
111	4.718954701
112	4.706076526
113	4.699116412
114	4.688833891
115	4.683400294
116	4.671255911
117	4.66213314
118	4.643687482
119	4.625581221
120	4.616552357
121	4.607205356
122	4.592156258
123	4.583027644
124	4.570348529
125	4.562151281
126	4.549553221
127	4.537503011
128	4.527335196
129	4.521765582
130	4.517138469
131	4.508488744
132	4.501103619
133	4.496402402
134	4.484349687
135	4.476492363
136	4.466689557
137	4.455102486
138	4.442581662
139	4.432161743
140	4.420145638
141	4.413448064
142	4.402151147
143	4.396624216
144	4.386601267
145	4.379942325
146	4.366640394
147	4.358884115
148	4.352041416
149	4.340707027
150	4.332795965
151	4.321029737
152	4.317369865
153	4.315540722
154	4.306688218
155	4.292975687
156	4.285744657
157	4.277293873
158	4.26600235
159	4.258954795
160	4.249276045
161	4.241039588
162	4.239973402
163	4.233669777
164	4.220406855
165	4.207185232
166	4.199674674
167	4.189283174
168	4.180062436
169	4.168981164
170	4.16198048
171	4.151265811
172	4.144597581
173	4.132850059
174	4.125588734
175	4.118073284
176	4.114104046
177	4.107317699
178	4.101636388
179	4.100606172
180	4.093411392
181	4.083740541
182	4.07366304
183	4.067432975
184	4.058805142
185	4.048935316
186	4.040824816
187	4.031482193
188	4.024090573
189	4.018113099
190	4.009854715
191	4.001205681
192	3.995782558
193	3.988694868
194	3.981897658
195	3.976264453
196	3.974530839
197	3.965857361
198	3.958843906
199	3.952149462
200	3.946116693
201	3.94084335
202	3.93379051
203	3.927517101
204	3.918603042
205	3.909798005
206	3.904555372
207	3.898998283
208	3.890025106
209	3.8842281
210	3.876524828
211	3.865243641
212	3.862031524
213	3.857266718
214	3.851550401
215	3.845041481
216	3.840035546
217	3.834750228
218	3.831869183
219	3.828303659
220	3.824649313
221	3.819836533
222	3.815065579
223	3.810024703
224	3.803102044
225	3.799350495
226	3.790663959
227	3.785046287
228	3.780721114
229	3.777265245
230	3.773005828
231	3.769393957
232	3.758538716
233	3.753292449
234	3.742744188
235	3.7381129
236	3.734193693
237	3.725430483
238	3.718521553
239	3.712105267
240	3.707562535
241	3.707317551
242	3.703695243
243	3.700357788
244	3.694158908
245	3.688646545
246	3.684414304
247	3.681021414
248	3.675405734
249	3.671225132
250	3.66242369
251	3.6588755
252	3.649046087
253	3.64420725
254	3.641271979
255	3.63937318
256	3.634455498
257	3.631221321
258	3.62617168
259	3.616876635
260	3.612025522
261	3.608218981
262	3.603504288
263	3.593604104
264	3.589406992
265	3.58100015
266	3.576114216
267	3.571938337
268	3.56918853
269	3.56627795
270	3.560919137
271	3.557818609
272	3.553230493
273	3.549064701
274	3.542369741
275	3.537890142
276	3.535851708
277	3.534418835
278	3.530301431
279	3.525804314
280	3.525208837
281	3.517486847
282	3.514706347
283	3.505663072
284	3.503394781
285	3.494974551
286	3.490330483
287	3.48947971
288	3.487081524
289	3.482773597
290	3.474920155
291	3.472507928
292	3.468127997
293	3.459261264
294	3.453935598
295	3.449762017
296	3.441160659
297	3.436673209
298	3.42928967
299	3.425212763
300	3.418486578
301	3.410018928
302	3.404652826
303	3.404565824
304	3.39938924
305	3.397236162
306	3.395491653
307	3.390985576
308	3.385156992
309	3.375555251
310	3.367406332
311	3.363480836
312	3.363291011
313	3.352048639
314	3.344577998
315	3.334073969
316	3.329233797
317	3.320825886
318	3.31601971
319	3.313400245
320	3.305718408
321	3.299740712
322	3.291392206
323	3.288595278
324	3.288029727
325	3.287184655
326	3.284419995
327	3.280463523
328	3.274928717
329	3.271175615
330	3.266261673
331	3.263892658
332	3.26077077
333	3.252730473
334	3.251838525
335	3.245679597
336	3.242651494
337	3.238365294
338	3.229992754
339	3.227510996
340	3.224581515
341	3.221801019
342	3.221013793
343	3.217129435
344	3.209555526
345	3.207439484
346	3.205597739
347	3.202005003
348	3.196073947
349	3.193032688
350	3.187371765
351	3.179984218
352	3.175011911
353	3.171691024
354	3.165094585
355	3.158270782
356	3.156054351
357	3.149568086
358	3.147689768
359	3.14433196
360	3.138017718
361	3.134675341
362	3.133412311
363	3.128300544
364	3.121468582
365	3.118442512
366	3.113573535
367	3.110505953
368	3.104317497
369	3.098231857
370	3.094581625
371	3.08482354
372	3.080810849
373	3.076646814
374	3.067678755
375	3.060373135
376	3.053234995
377	3.052725103
378	3.05097746
379	3.045479568
380	3.042914567
381	3.035108831
382	3.031997602
383	3.027557912
384	3.026247116
385	3.019353452
386	3.016057382
387	3.006986281
388	3.004299237
389	2.998686156
390	2.993360424
391	2.988447817
392	2.988313281
393	2.983185822
394	2.980529791
395	2.9744161
396	2.971404126
397	2.964932833
398	2.96046886
