iter	Passed	Remaining
0	187	187595
1	190	95052
2	192	64101
3	194	48410
4	196	39040
5	197	32705
6	199	28268
7	200	24857
8	202	22250
9	203	20115
10	204	18383
11	206	16983
12	207	15766
13	210	14795
14	211	13881
15	212	13081
16	213	12372
17	216	11827
18	223	11555
19	226	11074
20	228	10630
21	229	10189
22	230	9783
23	261	10617
24	262	10244
25	265	9946
26	266	9616
27	268	9329
28	270	9048
29	271	8781
30	272	8530
31	275	8332
32	276	8110
33	278	7919
34	280	7724
35	281	7542
36	283	7368
37	286	7250
38	287	7092
39	289	6948
40	291	6807
41	292	6672
42	294	6549
43	295	6428
44	297	6310
45	298	6197
46	300	6087
47	301	5975
48	302	5870
49	303	5769
50	304	5671
51	306	5596
52	308	5505
53	309	5417
54	310	5332
55	311	5255
56	312	5177
57	314	5101
58	315	5028
59	316	4955
60	317	4892
61	318	4824
62	323	4811
63	324	4752
64	326	4700
65	330	4670
66	331	4611
67	331	4548
68	334	4510
69	335	4458
70	336	4406
71	338	4362
72	339	4311
73	346	4331
74	347	4288
75	349	4243
76	350	4197
77	351	4152
78	352	4108
79	354	4080
80	357	4060
81	358	4018
82	360	3978
83	361	3939
84	362	3897
85	363	3867
86	369	3879
87	370	3844
88	372	3808
89	373	3774
90	374	3740
91	376	3711
92	377	3680
93	382	3686
94	383	3655
95	384	3624
96	385	3593
97	387	3562
98	389	3540
99	390	3510
100	395	3516
101	395	3484
102	397	3457
103	398	3432
104	399	3404
105	401	3383
106	402	3358
107	407	3362
108	408	3338
109	409	3312
110	410	3288
111	411	3264
112	412	3240
113	414	3218
114	415	3195
115	417	3178
116	418	3156
117	419	3134
118	420	3111
119	421	3091
120	422	3071
121	424	3052
122	424	3028
123	426	3013
124	427	2994
125	428	2975
126	430	2956
127	431	2937
128	432	2920
129	433	2902
130	437	2901
131	439	2888
132	440	2871
133	441	2854
134	442	2836
135	444	2824
136	445	2807
137	446	2789
138	449	2782
139	450	2766
140	451	2750
141	452	2734
142	454	2726
143	455	2710
144	457	2695
145	458	2680
146	460	2670
147	461	2656
148	462	2642
149	463	2629
150	465	2619
151	466	2604
152	467	2590
153	469	2576
154	471	2568
155	472	2555
156	473	2543
157	474	2530
158	476	2519
159	477	2507
160	478	2494
161	479	2481
162	483	2483
163	484	2472
164	486	2460
165	487	2448
166	488	2438
167	490	2426
168	491	2415
169	492	2403
170	496	2405
171	497	2394
172	498	2383
173	499	2372
174	500	2361
175	502	2351
176	503	2340
177	504	2329
178	508	2330
179	509	2319
180	509	2307
181	510	2296
182	512	2286
183	513	2276
184	514	2266
185	515	2255
186	519	2256
187	520	2247
188	521	2238
189	523	2229
190	524	2220
191	525	2211
192	526	2201
193	528	2195
194	529	2185
